La085Sr015FeO3_700_ramp-00068.xye	r_wp	volume	error	ka	error	kc	error	OoccTotal	error	Oocc1	error	crys_gaus	error	strain_gaus	error 
La085Sr015FeO3_700_ramp-00068.xye    10.65623   369.23759     0.01725     5.59483     0.00009    13.62077     0.00044     2.63790     0.02460     0.87930     0.00820    45.06481     0.44997     0.39944     0.00754
La085Sr015FeO3_700_ramp-00069.xye    10.59795   369.29032     0.01710     5.59514     0.00009    13.62122     0.00044     2.63889     0.02446     0.87963     0.00815    45.16928     0.45004     0.39989     0.00748
La085Sr015FeO3_700_He1-00000.xye    10.57474   369.29058     0.01711     5.59510     0.00009    13.62143     0.00044     2.63830     0.02442     0.87943     0.00814    45.16107     0.44865     0.39999     0.00747
La085Sr015FeO3_700_He1-00001.xye    10.56135   369.30256     0.01708     5.59517     0.00009    13.62151     0.00043     2.63819     0.02439     0.87940     0.00813    45.14373     0.44805     0.40000     0.00746
La085Sr015FeO3_700_He1-00002.xye    10.53435   369.36554     0.01711     5.59521     0.00009    13.62363     0.00044     2.63586     0.02431     0.87862     0.00810    45.73408     0.45392     0.40000     0.00732
La085Sr015FeO3_700_red-00000.xye    10.51427   369.40210     0.01705     5.59529     0.00009    13.62458     0.00043     2.63421     0.02425     0.87807     0.00808    45.93258     0.45410     0.39811     0.00726
La085Sr015FeO3_700_red-00001.xye    10.76607   369.90203     0.01714     5.59681     0.00009    13.63562     0.00044     2.60643     0.02492     0.86881     0.00831    46.04537     0.42835     0.35209     0.00750
La085Sr015FeO3_700_red-00002.xye    10.95651   371.10173     0.01841     5.60088     0.00010    13.65999     0.00047     2.54082     0.02558     0.84694     0.00853    46.22254     0.37886     0.28902     0.00796
La085Sr015FeO3_700_red-00003.xye    10.80409   371.70089     0.01862     5.60329     0.00010    13.67028     0.00048     2.50822     0.02531     0.83607     0.00844    46.44436     0.35828     0.26826     0.00800
La085Sr015FeO3_700_red-00004.xye    10.71511   371.96424     0.01870     5.60445     0.00010    13.67429     0.00048     2.49845     0.02514     0.83282     0.00838    46.56103     0.35318     0.26519     0.00794
La085Sr015FeO3_700_red-00005.xye    10.70320   371.97077     0.01857     5.60443     0.00010    13.67463     0.00048     2.49688     0.02512     0.83229     0.00837    46.62539     0.35079     0.26039     0.00797
La085Sr015FeO3_700_red-00006.xye    10.68019   371.98355     0.01847     5.60447     0.00010    13.67489     0.00048     2.49521     0.02507     0.83174     0.00836    46.62617     0.34863     0.25780     0.00798
La085Sr015FeO3_700_red-00007.xye    10.67887   371.98160     0.01843     5.60444     0.00010    13.67497     0.00047     2.49512     0.02505     0.83171     0.00835    46.64739     0.34757     0.25627     0.00798
La085Sr015FeO3_700_red-00008.xye    10.66431   371.97967     0.01843     5.60441     0.00010    13.67502     0.00047     2.49628     0.02502     0.83209     0.00834    46.65515     0.34687     0.25582     0.00797
La085Sr015FeO3_700_red-00009.xye    10.67027   371.97475     0.01840     5.60438     0.00010    13.67500     0.00047     2.49450     0.02503     0.83150     0.00834    46.65444     0.34631     0.25460     0.00799
La085Sr015FeO3_700_red-00010.xye    10.66581   371.95596     0.01836     5.60428     0.00010    13.67482     0.00047     2.49710     0.02501     0.83237     0.00834    46.70517     0.34639     0.25413     0.00798
La085Sr015FeO3_700_red-00011.xye    10.65534   371.96326     0.01832     5.60431     0.00010    13.67491     0.00047     2.49544     0.02498     0.83181     0.00833    46.66233     0.34496     0.25327     0.00799
